title,url
OPPO Reno14 F 5G 12GB/256GBMẫu mới,https://www.thegioididong.com/dtdd/oppo-reno14-f-5g-12gb-256gb
Samsung Galaxy Z Flip7 FE 5G 8GB/128GBMẫu mới,https://www.thegioididong.com/dtdd/samsung-galaxy-z-flip7-fe
iPhone 16 Pro Max 256GB,https://www.thegioididong.com/dtdd/iphone-16-pro-max
iPhone 16 Pro 128GB,https://www.thegioididong.com/dtdd/iphone-16-pro
Samsung Galaxy Z Fold7 5G 12GB/256GBMẫu mới,https://www.thegioididong.com/dtdd/samsung-galaxy-z-fold7
Samsung Galaxy Z Flip7 5G 12GB/256GBMẫu mới,https://www.thegioididong.com/dtdd/samsung-galaxy-z-flip7
OPPO Reno14 5G 12GB/512GBMẫu mới,https://www.thegioididong.com/dtdd/oppo-reno14-5g-512gb
OPPO Reno14 Pro 5G 12GB/512GBMẫu mới,https://www.thegioididong.com/dtdd/oppo-reno14-pro-5g
Xiaomi Redmi Note 14 Pro 8GB/256GB,https://www.thegioididong.com/dtdd/xiaomi-redmi-note-14-pro
Xiaomi Redmi Note 14 Pro+ 5G 8GB/256GB,https://www.thegioididong.com/dtdd/xiaomi-redmi-note-14-pro-plus
vivo Y39 5G 8GB/128GBMẫu mới,https://www.thegioididong.com/dtdd/vivo-y39-5g
vivo V50 Lite 5G 8GB/256GB,https://www.thegioididong.com/dtdd/vivo-v50-lite-5g
realme 14T 5G 8GB/256GBMẫu mới,https://www.thegioididong.com/dtdd/realme-14t-5g-8gb
HONOR 400 5G 12GB/256GB ĐenMẫu mới,https://www.thegioididong.com/dtdd/honor-400-5g-12gb-256gb-den
Tecno Spark 30 8GB/128GB,https://www.thegioididong.com/dtdd/tecno-spark-30
Masstel S9 6GB/256GB,https://www.thegioididong.com/dtdd/masstel-s9
iPhone 16 Plus 128GB,https://www.thegioididong.com/dtdd/iphone-16-plus
iPhone 16 128GB,https://www.thegioididong.com/dtdd/iphone-16
Samsung Galaxy A06 5G 6GB/128GB,https://www.thegioididong.com/dtdd/samsung-galaxy-a06-5g-6gb-128gb
Samsung Galaxy A36 5G 12GB/256GB,https://www.thegioididong.com/dtdd/samsung-galaxy-a36?utm_flashsale=1
